HDR,ROLLING SYSTEM DEMAND
VD,20200107000000,25948
VD,20200107000500,26022
VD,20200107001000,26062
VD,20200107001500,25944
VD,20200107002000,25934
VD,20200107002500,26033
VD,20200107003000,26123
VD,20200107003500,26413
VD,20200107004000,26536
VD,20200107004500,26588
VD,20200107005000,26726
VD,20200107005500,26724
VD,20200107010000,26599
VD,20200107010500,26689
VD,20200107011000,26717
VD,20200107011500,26666
VD,20200107012000,26673
VD,20200107012500,26682
VD,20200107013000,26623
VD,20200107013500,26558
VD,20200107014000,26415
VD,20200107014500,26328
VD,20200107015000,26395
VD,20200107015500,26298
VD,20200107020000,26196
VD,20200107020500,26300
VD,20200107021000,26348
VD,20200107021500,26478
VD,20200107022000,26473
VD,20200107022500,26495
VD,20200107023000,26332
VD,20200107023500,26289
VD,20200107024000,26227
VD,20200107024500,26234
VD,20200107025000,26353
VD,20200107025500,26277
VD,20200107030000,26160
VD,20200107030500,26119
VD,20200107031000,26141
VD,20200107031500,26126
VD,20200107032000,26111
VD,20200107032500,26029
VD,20200107033000,25931
VD,20200107033500,25869
VD,20200107034000,25833
VD,20200107034500,25699
VD,20200107035000,25549
VD,20200107035500,25279
VD,20200107040000,25055
VD,20200107040500,24999
VD,20200107041000,25127
VD,20200107041500,25061
VD,20200107042000,25012
VD,20200107042500,25001
VD,20200107043000,24800
VD,20200107043500,24919
VD,20200107044000,25014
VD,20200107044500,25006
VD,20200107045000,25025
VD,20200107045500,25022
VD,20200107050000,24945
VD,20200107050500,24917
VD,20200107051000,24908
VD,20200107051500,24876
VD,20200107052000,24879
VD,20200107052500,24913
VD,20200107053000,25083
VD,20200107053500,25440
VD,20200107054000,25700
VD,20200107054500,26038
VD,20200107055000,26304
VD,20200107055500,26402
VD,20200107060000,26842
VD,20200107060500,27787
VD,20200107061000,28594
VD,20200107061500,29030
VD,20200107062000,29523
VD,20200107062500,29987
VD,20200107063000,30291
VD,20200107063500,30694
VD,20200107064000,31202
VD,20200107064500,31629
VD,20200107065000,32181
VD,20200107065500,32740
VD,20200107070000,33142
VD,20200107070500,33504
VD,20200107071000,34414
VD,20200107071500,35023
VD,20200107072000,35397
VD,20200107072500,35778
VD,20200107073000,36049
VD,20200107073500,36193
VD,20200107074000,36437
VD,20200107074500,36658
VD,20200107075000,36945
VD,20200107075500,37080
VD,20200107080000,37151
VD,20200107080500,37319
VD,20200107081000,37439
VD,20200107081500,37478
VD,20200107082000,37630
VD,20200107082500,37741
VD,20200107083000,37763
VD,20200107083500,37594
VD,20200107084000,37548
VD,20200107084500,37693
VD,20200107085000,37576
VD,20200107085500,37563
VD,20200107090000,37539
VD,20200107090500,37537
VD,20200107091000,37600
VD,20200107091500,37592
VD,20200107092000,37711
VD,20200107092500,37744
VD,20200107093000,37725
VD,20200107093500,37781
VD,20200107094000,37712
VD,20200107094500,37554
VD,20200107095000,37624
VD,20200107095500,37692
VD,20200107100000,37755
VD,20200107100500,37702
VD,20200107101000,37724
VD,20200107101500,37572
VD,20200107102000,37610
VD,20200107102500,37542
VD,20200107103000,37458
VD,20200107103500,37450
VD,20200107104000,37472
VD,20200107104500,37530
VD,20200107105000,37435
VD,20200107105500,37474
VD,20200107110000,37380
VD,20200107110500,37524
VD,20200107111000,37713
VD,20200107111500,37732
VD,20200107112000,37682
VD,20200107112500,37720
VD,20200107113000,37721
VD,20200107113500,37845
VD,20200107114000,37874
VD,20200107114500,37882
VD,20200107115000,37780
VD,20200107115500,37821
VD,20200107120000,37924
VD,20200107120500,38287
VD,20200107121000,35537
VD,20200107121500,38522
VD,20200107122000,38652
VD,20200107122500,38622
VD,20200107123000,38612
VD,20200107123500,38516
VD,20200107124000,38456
VD,20200107124500,38289
VD,20200107125000,38273
VD,20200107125500,38241
VD,20200107130000,38282
VD,20200107130500,38721
VD,20200107131000,38817
VD,20200107131500,38787
VD,20200107132000,38846
VD,20200107132500,38864
VD,20200107133000,38823
VD,20200107133500,38825
VD,20200107134000,38720
VD,20200107134500,38586
VD,20200107135000,38504
VD,20200107135500,38673
VD,20200107140000,38735
VD,20200107140500,38658
VD,20200107141000,38386
VD,20200107141500,38251
VD,20200107142000,38372
VD,20200107142500,38522
VD,20200107143000,38729
VD,20200107143500,38794
VD,20200107144000,38777
VD,20200107144500,38796
VD,20200107145000,38666
VD,20200107145500,38629
VD,20200107150000,38280
VD,20200107150500,37779
VD,20200107151000,37923
VD,20200107151500,37964
VD,20200107152000,38024
VD,20200107152500,38140
VD,20200107153000,38194
VD,20200107153500,38394
VD,20200107154000,38682
VD,20200107154500,38982
VD,20200107155000,39324
VD,20200107155500,39549
VD,20200107160000,39801
VD,20200107160500,40085
VD,20200107161000,40167
VD,20200107161500,40380
VD,20200107162000,40741
VD,20200107162500,40933
VD,20200107163000,41171
VD,20200107163500,41341
VD,20200107164000,41568
VD,20200107164500,41722
VD,20200107165000,42003
VD,20200107165500,41991
VD,20200107170000,41896
VD,20200107170500,42007
VD,20200107171000,42083
VD,20200107171500,42028
VD,20200107172000,42069
VD,20200107172500,42087
VD,20200107173000,41978
VD,20200107173500,41936
VD,20200107174000,41886
VD,20200107174500,41809
VD,20200107175000,41725
VD,20200107175500,41600
VD,20200107180000,41475
VD,20200107180500,41510
VD,20200107181000,41330
VD,20200107181500,41115
VD,20200107182000,40954
VD,20200107182500,40848
VD,20200107183000,40683
VD,20200107183500,40508
VD,20200107184000,40402
VD,20200107184500,40240
VD,20200107185000,40150
VD,20200107185500,39952
VD,20200107190000,39699
VD,20200107190500,39603
VD,20200107191000,39508
VD,20200107191500,39480
VD,20200107192000,39226
VD,20200107192500,38832
VD,20200107193000,38592
VD,20200107193500,38477
VD,20200107194000,38271
VD,20200107194500,37939
VD,20200107195000,37685
VD,20200107195500,37295
VD,20200107200000,37040
VD,20200107200500,36963
VD,20200107201000,36759
VD,20200107201500,36516
VD,20200107202000,36182
VD,20200107202500,36029
VD,20200107203000,35688
VD,20200107203500,35289
VD,20200107204000,34887
VD,20200107204500,34711
VD,20200107205000,34523
VD,20200107205500,34398
VD,20200107210000,34184
VD,20200107210500,34018
VD,20200107211000,33607
VD,20200107211500,33129
VD,20200107212000,32863
VD,20200107212500,32501
VD,20200107213000,32144
VD,20200107213500,31901
VD,20200107214000,31529
VD,20200107214500,31155
VD,20200107215000,30782
VD,20200107215500,30507
VD,20200107220000,30037
VD,20200107220500,29586
VD,20200107221000,29342
VD,20200107221500,29170
VD,20200107222000,28794
VD,20200107222500,28389
VD,20200107223000,28385
VD,20200107223500,28315
VD,20200107224000,28111
VD,20200107224500,27868
VD,20200107225000,27643
VD,20200107225500,27378
VD,20200107230000,26816
VD,20200107230500,26591
VD,20200107231000,26649
VD,20200107231500,26498
VD,20200107232000,26324
VD,20200107232500,26006
VD,20200107233000,25790
VD,20200107233500,25746
VD,20200107234000,25839
VD,20200107234500,25924
VD,20200107235000,25811
VD,20200107235500,25723
VD,20200108000000,25747
VD,20200108000500,25815
VD,20200108001000,25725
VD,20200108001500,25734
VD,20200108002000,25596
VD,20200108002500,25336
VD,20200108003000,25288
VD,20200108003500,25388
VD,20200108004000,25431
VD,20200108004500,25469
VD,20200108005000,25544
VD,20200108005500,25615
VD,20200108010000,25641
VD,20200108010500,25707
VD,20200108011000,25815
VD,20200108011500,25811
VD,20200108012000,25763
VD,20200108012500,25737
VD,20200108013000,25664
VD,20200108013500,25528
VD,20200108014000,25470
VD,20200108014500,25525
VD,20200108015000,25537
VD,20200108015500,25485
VD,20200108020000,25472
VD,20200108020500,25350
VD,20200108021000,25329
VD,20200108021500,25351
VD,20200108022000,25310
VD,20200108022500,25290
VD,20200108023000,25278
VD,20200108023500,25262
VD,20200108024000,25186
VD,20200108024500,25122
VD,20200108025000,25007
VD,20200108025500,25005
VD,20200108030000,24948
VD,20200108030500,24835
VD,20200108031000,24888
VD,20200108031500,24918
VD,20200108032000,24889
VD,20200108032500,24905
VD,20200108033000,24876
VD,20200108033500,24964
VD,20200108034000,24966
VD,20200108034500,24874
VD,20200108035000,24768
VD,20200108035500,24720
VD,20200108040000,24745
VD,20200108040500,24852
VD,20200108041000,24837
VD,20200108041500,24831
VD,20200108042000,24795
VD,20200108042500,24763
VD,20200108043000,24818
VD,20200108043500,24801
VD,20200108044000,24788
VD,20200108044500,24774
VD,20200108045000,24630
VD,20200108045500,24633
VD,20200108050000,24584
VD,20200108050500,24833
VD,20200108051000,25052
VD,20200108051500,25054
VD,20200108052000,25132
VD,20200108052500,25251
VD,20200108053000,25301
VD,20200108053500,25406
VD,20200108054000,25675
VD,20200108054500,25904
VD,20200108055000,26181
VD,20200108055500,26337
VD,20200108060000,26515
VD,20200108060500,27091
VD,20200108061000,27747
VD,20200108061500,28301
VD,20200108062000,28752
VD,20200108062500,29289
VD,20200108063000,29771
VD,20200108063500,30321
VD,20200108064000,31109
VD,20200108064500,31733
VD,20200108065000,32053
VD,20200108065500,32572
VD,20200108070000,33443
VD,20200108070500,34578
VD,20200108071000,36001
VD,20200108071500,36673
VD,20200108072000,36975
VD,20200108072500,37684
VD,20200108073000,37616
VD,20200108073500,38135
VD,20200108074000,38606
VD,20200108074500,38932
VD,20200108075000,39347
VD,20200108075500,39539
VD,20200108080000,39613
VD,20200108080500,39773
VD,20200108081000,40040
VD,20200108081500,40351
VD,20200108082000,40503
VD,20200108082500,40438
VD,20200108083000,40343
VD,20200108083500,40268
VD,20200108084000,40214
VD,20200108084500,40146
VD,20200108085000,40134
VD,20200108085500,40091
VD,20200108090000,39939
VD,20200108090500,40335
VD,20200108091000,40599
VD,20200108091500,40613
VD,20200108092000,40619
VD,20200108092500,40609
VD,20200108093000,40822
VD,20200108093500,40925
VD,20200108094000,40835
VD,20200108094500,40771
VD,20200108095000,40691
VD,20200108095500,40646
VD,20200108100000,40584
VD,20200108100500,40621
VD,20200108101000,40530
VD,20200108101500,40455
VD,20200108102000,40385
VD,20200108102500,40474
VD,20200108103000,40622
VD,20200108103500,40716
VD,20200108104000,40712
VD,20200108104500,40853
VD,20200108105000,40916
VD,20200108105500,40789
VD,20200108110000,40718
VD,20200108110500,40239
VD,20200108111000,40155
VD,20200108111500,40054
VD,20200108112000,39977
VD,20200108112500,40063
VD,20200108113000,40171
VD,20200108113500,40159
VD,20200108114000,40086
VD,20200108114500,40121
VD,20200108115000,40142
VD,20200108115500,40149
VD,20200108120000,40176
VD,20200108120500,40374
VD,20200108121000,40546
VD,20200108121500,40568
VD,20200108122000,40704
VD,20200108122500,40719
VD,20200108123000,40742
VD,20200108123500,40844
VD,20200108124000,40779
VD,20200108124500,40906
VD,20200108125000,40920
VD,20200108125500,40923
VD,20200108130000,40874
VD,20200108130500,41045
VD,20200108131000,41074
VD,20200108131500,41032
VD,20200108132000,40992
VD,20200108132500,40900
VD,20200108133000,40782
VD,20200108133500,40717
VD,20200108134000,40844
VD,20200108134500,40850
VD,20200108135000,40992
VD,20200108135500,41092
VD,20200108140000,40989
VD,20200108140500,40957
VD,20200108141000,40930
VD,20200108141500,41070
VD,20200108142000,41156
VD,20200108142500,41261
VD,20200108143000,41208
VD,20200108143500,40971
VD,20200108144000,40986
VD,20200108144500,41014
VD,20200108145000,40946
VD,20200108145500,40758
VD,20200108150000,40849
VD,20200108150500,40989
VD,20200108151000,41088
VD,20200108151500,41219
VD,20200108152000,41235
VD,20200108152500,41332
VD,20200108153000,41450
VD,20200108153500,41559
VD,20200108154000,41732
VD,20200108154500,41888
VD,20200108155000,42081
VD,20200108155500,42384
VD,20200108160000,42615
VD,20200108160500,42870
VD,20200108161000,43066
VD,20200108161500,43278
VD,20200108162000,43550
VD,20200108162500,43980
VD,20200108163000,44117
VD,20200108163500,44253
VD,20200108164000,44420
VD,20200108164500,44638
VD,20200108165000,44805
VD,20200108165500,44850
VD,20200108170000,44862
VD,20200108170500,44925
VD,20200108171000,45035
VD,20200108171500,45042
VD,20200108172000,45076
VD,20200108172500,45092
VD,20200108173000,45081
VD,20200108173500,45090
VD,20200108174000,45187
VD,20200108174500,45141
VD,20200108175000,45120
VD,20200108175500,44873
VD,20200108180000,44863
VD,20200108180500,45111
VD,20200108181000,44988
VD,20200108181500,44876
VD,20200108182000,44720
VD,20200108182500,44628
VD,20200108183000,44478
VD,20200108183500,44427
VD,20200108184000,44290
VD,20200108184500,44100
VD,20200108185000,43827
VD,20200108185500,43597
VD,20200108190000,43383
VD,20200108190500,43662
VD,20200108191000,43558
VD,20200108191500,43428
VD,20200108192000,43198
VD,20200108192500,42844
VD,20200108193000,42636
VD,20200108193500,42686
VD,20200108194000,42423
VD,20200108194500,42229
VD,20200108195000,42042
VD,20200108195500,41760
VD,20200108200000,41415
VD,20200108200500,41370
VD,20200108201000,41172
VD,20200108201500,40758
VD,20200108202000,40682
VD,20200108202500,40221
VD,20200108203000,39894
VD,20200108203500,39714
VD,20200108204000,39485
VD,20200108204500,39406
VD,20200108205000,39294
VD,20200108205500,38996
VD,20200108210000,38791
VD,20200108210500,38382
VD,20200108211000,37861
VD,20200108211500,37416
VD,20200108212000,37142
VD,20200108212500,36816
VD,20200108213000,36511
VD,20200108213500,36221
VD,20200108214000,35801
VD,20200108214500,35346
VD,20200108215000,34794
VD,20200108215500,34406
VD,20200108220000,33911
VD,20200108220500,33709
VD,20200108221000,33242
VD,20200108221500,32819
VD,20200108222000,32445
VD,20200108222500,32151
VD,20200108223000,31894
VD,20200108223500,31605
VD,20200108224000,31199
VD,20200108224500,30787
VD,20200108225000,30486
VD,20200108225500,30081
VD,20200108230000,29732
VD,20200108230500,29313
VD,20200108231000,28936
VD,20200108231500,28594
VD,20200108232000,28193
VD,20200108232500,27971
VD,20200108233000,27655
VD,20200108233500,27388
VD,20200108234000,27304
VD,20200108234500,27247
VD,20200108235000,27065
VD,20200108235500,26890
VD,20200109000000,26807
VD,20200109000500,26829
VD,20200109001000,26757
VD,20200109001500,26683
VD,20200109002000,26719
VD,20200109002500,26677
VD,20200109003000,26570
VD,20200109003500,26584
VD,20200109004000,26737
VD,20200109004500,26907
VD,20200109005000,27109
VD,20200109005500,26984
VD,20200109010000,26918
VD,20200109010500,26496
VD,20200109011000,26428
VD,20200109011500,26499
VD,20200109012000,26465
VD,20200109012500,26410
VD,20200109013000,26193
VD,20200109013500,26088
VD,20200109014000,25985
VD,20200109014500,25774
VD,20200109015000,25512
VD,20200109015500,25377
VD,20200109020000,25278
VD,20200109020500,25353
VD,20200109021000,25880
VD,20200109021500,26018
VD,20200109022000,26037
VD,20200109022500,25820
VD,20200109023000,25627
VD,20200109023500,25747
VD,20200109024000,25735
VD,20200109024500,25787
VD,20200109025000,25825
VD,20200109025500,25781
VD,20200109030000,25774
VD,20200109030500,25688
VD,20200109031000,25674
VD,20200109031500,25616
VD,20200109032000,25604
VD,20200109032500,25666
VD,20200109033000,25620
VD,20200109033500,25594
VD,20200109034000,25547
VD,20200109034500,25600
VD,20200109035000,25590
VD,20200109035500,25567
VD,20200109040000,25717
VD,20200109040500,26167
VD,20200109041000,26341
VD,20200109041500,26369
VD,20200109042000,26392
VD,20200109042500,26333
VD,20200109043000,26325
VD,20200109043500,26503
VD,20200109044000,26515
VD,20200109044500,26445
VD,20200109045000,26216
VD,20200109045500,26024
VD,20200109050000,25849
VD,20200109050500,25911
VD,20200109051000,26068
VD,20200109051500,26042
VD,20200109052000,26113
VD,20200109052500,26157
VD,20200109053000,26182
VD,20200109053500,26376
VD,20200109054000,26672
VD,20200109054500,26953
VD,20200109055000,27292
VD,20200109055500,27692
VD,20200109060000,27750
VD,20200109060500,28210
VD,20200109061000,29235
VD,20200109061500,29695
VD,20200109062000,30236
VD,20200109062500,30673
VD,20200109063000,31054
VD,20200109063500,31522
VD,20200109064000,32131
VD,20200109064500,32589
VD,20200109065000,33126
VD,20200109065500,33697
VD,20200109070000,34172
VD,20200109070500,34518
VD,20200109071000,35193
VD,20200109071500,35815
VD,20200109072000,36585
VD,20200109072500,37069
VD,20200109073000,37338
VD,20200109073500,37526
VD,20200109074000,38022
VD,20200109074500,38389
VD,20200109075000,38706
VD,20200109075500,38832
VD,20200109080000,38748
VD,20200109080500,38762
VD,20200109081000,39071
VD,20200109081500,39113
VD,20200109082000,39241
VD,20200109082500,39307
VD,20200109083000,39351
VD,20200109083500,39298
VD,20200109084000,39342
VD,20200109084500,39316
VD,20200109085000,39285
VD,20200109085500,39236
VD,20200109090000,39206
VD,20200109090500,39486
VD,20200109091000,39448
VD,20200109091500,39497
VD,20200109092000,39567
VD,20200109092500,39673
VD,20200109093000,39697
VD,20200109093500,39608
VD,20200109094000,39462
VD,20200109094500,39470
VD,20200109095000,39365
VD,20200109095500,39319
VD,20200109100000,39225
VD,20200109100500,39313
VD,20200109101000,39111
VD,20200109101500,39000
VD,20200109102000,38972
VD,20200109102500,39040
VD,20200109103000,39065
VD,20200109103500,39082
VD,20200109104000,39136
VD,20200109104500,39071
VD,20200109105000,39046
VD,20200109105500,38958
VD,20200109110000,38939
VD,20200109110500,39014
VD,20200109111000,39022
VD,20200109111500,38969
VD,20200109112000,39020
VD,20200109112500,39079
VD,20200109113000,39020
VD,20200109113500,39037
VD,20200109114000,38997
VD,20200109114500,38878
VD,20200109115000,38954
VD,20200109115500,39196
VD,20200109120000,39213
VD,20200109120500,39242
VD,20200109121000,39335
VD,20200109121500,39418
VD,20200109122000,39500
VD,20200109122500,39557
VD,20200109123000,39650
VD,20200109123500,39751
VD,20200109124000,39772
VD,20200109124500,39731
VD,20200109125000,39621
VD,20200109125500,39621
VD,20200109130000,39762
VD,20200109130500,40039
VD,20200109131000,40038
VD,20200109131500,40049
VD,20200109132000,40159
VD,20200109132500,40206
VD,20200109133000,40266
VD,20200109133500,40304
VD,20200109134000,40433
VD,20200109134500,40460
VD,20200109135000,40522
VD,20200109135500,40486
VD,20200109140000,40528
VD,20200109140500,40637
VD,20200109141000,40732
VD,20200109141500,40645
VD,20200109142000,40688
VD,20200109142500,40763
VD,20200109143000,40952
VD,20200109143500,41119
VD,20200109144000,41041
VD,20200109144500,41007
VD,20200109145000,41214
VD,20200109145500,41179
VD,20200109150000,41400
VD,20200109150500,41668
VD,20200109151000,41555
VD,20200109151500,41410
VD,20200109152000,41403
VD,20200109152500,41335
VD,20200109153000,41454
VD,20200109153500,41952
VD,20200109154000,42080
VD,20200109154500,42291
VD,20200109155000,42624
VD,20200109155500,43004
VD,20200109160000,43207
VD,20200109160500,43618
VD,20200109161000,43716
VD,20200109161500,43870
VD,20200109162000,44144
VD,20200109162500,44366
VD,20200109163000,44465
VD,20200109163500,44775
VD,20200109164000,44941
VD,20200109164500,44948
VD,20200109165000,45117
VD,20200109165500,45346
VD,20200109170000,45486
VD,20200109170500,45473
VD,20200109171000,45262
VD,20200109171500,45280
VD,20200109172000,45344
VD,20200109172500,45260
VD,20200109173000,45183
VD,20200109173500,45245
VD,20200109174000,45255
VD,20200109174500,45179
VD,20200109175000,45101
VD,20200109175500,45010
VD,20200109180000,44865
VD,20200109180500,44969
VD,20200109181000,44462
VD,20200109181500,44232
VD,20200109182000,44121
VD,20200109182500,44087
VD,20200109183000,44126
VD,20200109183500,44226
VD,20200109184000,44413
VD,20200109184500,44301
VD,20200109185000,44153
VD,20200109185500,44109
VD,20200109190000,43946
